,Ward/VillageTract,tot_pop,male_pop,female_pop,Township,Longitude,Latitude
5377,BoneGyiKone(VT),5083.0,2633.0,2450.0,Labutta Township,95.0253059387207,16.0173999786377
5378,GantEik(VT),2469.0,1247.0,1222.0,Labutta Township,94.66610336303711,16.088450113932286
5379,KantBaLar(VT),1880.0,955.0,925.0,Labutta Township,94.65016428629558,16.0535297393799
5380,SinChayYar(VT),2977.0,1548.0,1429.0,Labutta Township,94.61753540039062,16.010510063171385
5381,ThaPyuKone(VT),6336.0,3263.0,3073.0,Labutta Township,94.69142296200707,16.02304345085507
5382,ThinGanGyi(VT),3201.0,1689.0,1512.0,Labutta Township,94.6139450073242,15.96678504943849
5383,Yway(VT),2194.0,1179.0,1015.0,Labutta Township,94.63584518432617,15.929104963938416
5384,SaLuSeik(VT),6396.0,3414.0,2982.0,Labutta Township,94.69836654663088,15.88980207443239
5385,KoneGyi(VT),5672.0,2845.0,2827.0,Labutta Township,94.77071796764027,15.817224589261137
5386,HlwaZar(VT),6583.0,3402.0,3181.0,Labutta Township,94.7774742126465,15.971172142028815
5387,KokeKo(VT),5065.0,2632.0,2433.0,Labutta Township,94.81670777362531,16.068348066359306
5388,BaingDauntChaung(VT),9628.0,4978.0,4650.0,Labutta Township,94.76887570894681,16.049496724055363
5389,SarChet(VT),9482.0,4910.0,4572.0,Labutta Township,94.88248291320801,15.963535631999967
5390,YaeTwinSeik(VT),6446.0,3440.0,3006.0,Labutta Township,94.91089035614014,15.8766744418335
5391,DaNiSeik(VT),6868.0,3611.0,3257.0,Labutta Township,94.98475731743707,15.927516619364424
5392,TaLaingKwin(VT),2330.0,1114.0,1216.0,Kyangin Township,95.24320888519287,18.32491731643676
5393,TaLaingKwin(VT),2330.0,1114.0,1216.0,Ingapu Township,95.16165313720703,17.76608409881593
5394,KwaytMa(VT),1840.0,842.0,998.0,Kyangin Township,95.2367680867513,18.29336208767361
5395,KaLoetKwin(VT),4357.0,2068.0,2289.0,Kyangin Township,95.16735331217448,18.3052978515625
5396,TheaHpyu(VT),1073.0,511.0,562.0,Myanaung Township,95.36329269409178,17.967324614524834
5397,TheaHpyu(VT),1073.0,511.0,562.0,Kyangin Township,95.20942687988283,18.310832023620627
5398,TheaHpyu(VT),6047.0,2815.0,3232.0,Myanaung Township,95.36329269409178,17.967324614524834
5399,TheaHpyu(VT),6047.0,2815.0,3232.0,Kyangin Township,95.20942687988283,18.310832023620627
5400,ShwePanTaw(VT),1912.0,910.0,1002.0,Kyangin Township,95.20836448669432,18.290587186813337
5401,ChinMyaung(VT),950.0,475.0,475.0,Kyangin Township,95.20488128662107,18.31862411499022
5402,KyanTaw(VT),3278.0,1465.0,1813.0,Kyangin Township,95.22894345797027,18.272455508892353
5403,PetMaKhan(VT),1510.0,693.0,817.0,Kyangin Township,95.21706295013428,18.24347400665284
5404,ThaukKyarDu(VT),2469.0,1178.0,1291.0,Kyangin Township,95.13231658935548,18.4803044455392
5405,YaeLelKyun(VT),1512.0,684.0,828.0,Kyangin Township,95.16620635986325,18.472900390625
5406,HtanTaPin(VT),3966.0,1933.0,2033.0,Kyangin Township,95.14333057403564,18.447158575057973
5407,SonLe(VT),6162.0,2902.0,3260.0,Kyangin Township,95.19240010579429,18.39315452575682
5408,MeKone(VT),1426.0,663.0,763.0,Kyangin Township,95.20002288818361,18.35629806518556
5409,KaZinGyi(VT),1736.0,806.0,930.0,Kyangin Township,95.21472930908205,18.33870964050292
5410,OkeTwin(VT),2778.0,1284.0,1494.0,Kyangin Township,95.17913140190973,18.27743572658962
5411,OkeTwin(VT),2778.0,1284.0,1494.0,Ingapu Township,95.2783317565918,17.939270019531275
5412,KoeInn(VT),1644.0,784.0,860.0,Kyangin Township,95.1492640177409,18.29171456231009
5413,KyarInn(VT),2532.0,1181.0,1351.0,Zalun Township,95.64981651306155,17.43302631378174
5414,KyarInn(VT),2532.0,1181.0,1351.0,Kyangin Township,95.10850742885044,18.29931722368513
5415,KyarInn(VT),4153.0,2021.0,2132.0,Zalun Township,95.64981651306155,17.43302631378174
5416,KyarInn(VT),4153.0,2021.0,2132.0,Kyangin Township,95.10850742885044,18.29931722368513
5417,AhLon(VT),3069.0,1468.0,1601.0,Kyangin Township,95.08077663845486,18.348061879475924
5418,KhonGyi(VT),4948.0,2482.0,2466.0,Kyangin Township,95.06533754788913,18.303745416494532
5419,KhonGyi(VT),4948.0,2482.0,2466.0,Ingapu Township,95.11926603317261,17.87350618839264
5420,PeinHneKwin(VT),2237.0,1041.0,1196.0,Kyangin Township,95.16466522216797,18.244303067525234
5421,PeinHneKwin(VT),2237.0,1041.0,1196.0,Ingapu Township,95.08768310546876,17.721949895222973
5422,YaeNanTaung(VT),3812.0,1745.0,2067.0,Kyangin Township,95.1430324207653,18.198777458884493
5423,ShaukKhon(VT),1488.0,698.0,790.0,Kyangin Township,95.1093266805013,18.276130040486635
5424,PaukNweSan(VT),3038.0,1524.0,1514.0,Kyangin Township,95.09022194998606,18.222298485892157
5425,ThitSeintKaing(VT),2114.0,1003.0,1111.0,Kyangin Township,95.05553436279297,18.350555419921875
5426,KunAitKone(VT),1913.0,952.0,961.0,Kyangin Township,95.0907096862793,18.32237195968629
5427,ZeePinKwin(VT),2186.0,1061.0,1125.0,Kyangin Township,95.13321685791016,18.329291582107533
5428,KwinGyi(VT),1748.0,840.0,908.0,Lemyethna Township,94.99488830566406,17.61948204040528
5429,KwinGyi(VT),1748.0,840.0,908.0,Kyangin Township,95.14133453369142,18.2408218383789
5430,KwinGyi(VT),2953.0,1445.0,1508.0,Lemyethna Township,94.99488830566406,17.61948204040528
5431,KwinGyi(VT),2953.0,1445.0,1508.0,Kyangin Township,95.14133453369142,18.2408218383789
5432,PoeSuGyi(VT),4386.0,2135.0,2251.0,Kyangin Township,95.1011243547712,18.172531672886443
5433,KyoetPinSu(VT),3300.0,1632.0,1668.0,Kyangin Township,95.06800969441731,18.254501660664882
5434,LaMaing(VT),1526.0,738.0,788.0,Zalun Township,95.57172611781529,17.46921021597726
5435,ThaHpanKone(VT),1976.0,926.0,1050.0,Zalun Township,95.58074951171876,17.449907302856424
5436,MaYoeKha(VT),1694.0,776.0,918.0,Zalun Township,95.60460662841797,17.442446390787733
5437,NyaungPinThar(VT),2165.0,997.0,1168.0,Zalun Township,95.62431030273437,17.4393238067627
5438,PaKwe(VT),3121.0,1459.0,1662.0,Zalun Township,95.59971364339195,17.423750718434658
5439,PaKweYaeLe(VT),1463.0,685.0,778.0,Zalun Township,95.62327194213867,17.428402900695797
5440,YaeLe(VT),6252.0,3012.0,3240.0,Zalun Township,95.63631184895836,17.482554753621418
5441,KywaMan(VT),337.0,166.0,171.0,Zalun Township,95.56390686035154,17.445495986938482
5442,MyitWa(VT),2808.0,1388.0,1420.0,Zalun Township,95.61935297648112,17.5058069229126
5443,NanTawKyun(VT),4008.0,1894.0,2114.0,Zalun Township,95.58495330810547,17.49554014205935
5444,YaeTwinKone(VT),1760.0,851.0,909.0,Zalun Township,95.61656697591143,17.5238730112712
5445,LayTu(East)(VT),1541.0,712.0,829.0,Zalun Township,95.71655527750649,17.5034335454305
5446,HtoneTaPo(VT),5289.0,2619.0,2670.0,Zalun Township,95.67551930745442,17.46525033315022
5447,OkeShitKwin(VT),2946.0,1374.0,1572.0,Zalun Township,95.51547241210938,17.422896703084334
5448,ThaYetTaPin(North)(VT),1840.0,879.0,961.0,Zalun Township,95.49948272705078,17.45060806274414
5449,ThaYetTaPin(South)(VT),2582.0,1213.0,1369.0,Zalun Township,95.51584625244142,17.444562488132068
5450,LeinKone(VT),2865.0,1371.0,1494.0,Zalun Township,95.49773067898221,17.466001086764887
5451,AhShokeKwin(VT),789.0,373.0,416.0,Zalun Township,95.5282020568848,17.4774751663208
5452,YinMaLut(VT),2105.0,1002.0,1103.0,Zalun Township,95.54007651589136,17.43814399025658
5453,ByinNyar(VT),570.0,268.0,302.0,Zalun Township,95.54557037353516,17.48021697998047
5454,GyanTaik(VT),2523.0,1202.0,1321.0,Zalun Township,95.53481970893014,17.417470084296344
5455,KawtSein(VT),2910.0,1357.0,1553.0,Zalun Township,95.52162233988444,17.40020497639974
5456,KawtKatGyi(VT),1284.0,613.0,671.0,Zalun Township,95.48516845703125,17.39826011657715
5457,KawtKatKhaLay(VT),1833.0,852.0,981.0,Zalun Township,95.47875213623045,17.4250259399414
5458,KyonKawt(VT),1310.0,623.0,687.0,Zalun Township,95.47286605834962,17.402025699615475
5459,PetTan(VT),3331.0,1552.0,1779.0,Zalun Township,95.43564883145419,17.435584328391336
5460,MaHarThar(VT),2620.0,1186.0,1434.0,Zalun Township,95.45159435272217,17.414863824844364
5461,TaKhunTaing(VT),1049.0,504.0,545.0,Zalun Township,95.439702351888,17.413340250651064
5462,SinMyaySar(VT),565.0,285.0,280.0,Zalun Township,95.42964172363283,17.400206883748368
5463,WarPaTaw(VT),1780.0,867.0,913.0,Zalun Township,95.48795064290367,17.3839702606201
5464,MinDaYei(VT),627.0,297.0,330.0,Zalun Township,95.41888936360681,17.44659996032713
5465,TharDuChaung(VT),6412.0,3000.0,3412.0,Zalun Township,95.60186094396254,17.583446614882522
5466,KuToetSeik(VT),3584.0,1736.0,1848.0,Zalun Township,95.57035446166992,17.532804807027183
5467,NyeinAye(VT),6772.0,3215.0,3557.0,Zalun Township,95.64341672261556,17.53289175033569
5468,SonKone(VT),2671.0,1299.0,1372.0,Zalun Township,95.63360595703126,17.57605280194964
5469,SonKone(VT),2671.0,1299.0,1372.0,Ingapu Township,95.22981567382813,17.73979415893556
5470,AhHtut(VT),3924.0,1915.0,2009.0,Zalun Township,95.61087799072266,17.55708092909594
5471,HparLetKho(VT),2443.0,1126.0,1317.0,Zalun Township,95.57349967956543,17.555197238922126
5472,KyonSha(VT),2085.0,976.0,1109.0,Zalun Township,95.59642155965169,17.368354797363267
5473,ZawGyiKwin(VT),3691.0,1737.0,1954.0,Zalun Township,95.58336223255505,17.39214186234909
5474,HpetThaung(VT),2736.0,1313.0,1423.0,Zalun Township,95.55753326416017,17.36943181355795
5475,DaNuBay(VT),1409.0,641.0,768.0,Zalun Township,95.57514190673828,17.430937528610237
5476,AhByin(VT),1349.0,647.0,702.0,Zalun Township,95.56961631774902,17.41184425354005
5477,MayYiLan(VT),1664.0,759.0,905.0,Zalun Township,95.56645774841307,17.386300086975098
