Longitude,Latitude,Ward/VillageTract,total_population,male_population,female_population,Township
94.854317,21.61256,No(3)(W),12515,5367,7148,Myaing Township
95.082268,21.335001,No(3)(W),1073,513,560,Pakokku Township
94.81558,21.38358,No(3)(W),1073,513,560,Pakokku Township
95.241655,21.633454,No(3)(W),1073,513,560,Yesagyo Township
94.854317,21.61256,No(3)(W),1073,513,560,Myaing Township
95.082268,21.335001,No(3)(W),3090,1406,1684,Pakokku Township
94.81558,21.38358,No(3)(W),3090,1406,1684,Pakokku Township
95.241655,21.633454,No(3)(W),3090,1406,1684,Yesagyo Township
94.854317,21.61256,No(3)(W),3090,1406,1684,Myaing Township
95.082268,21.335001,No(4)(W),3354,1382,1972,Pakokku Township
94.81558,21.38358,No(4)(W),3354,1382,1972,Pakokku Township
95.241655,21.633454,No(4)(W),3354,1382,1972,Yesagyo Township
95.082268,21.335001,No(4)(W),1064,450,614,Pakokku Township
94.81558,21.38358,No(4)(W),1064,450,614,Pakokku Township
95.241655,21.633454,No(4)(W),1064,450,614,Yesagyo Township
95.082268,21.335001,No(5)(W),6241,2761,3480,Pakokku Township
94.81558,21.38358,No(5)(W),6241,2761,3480,Pakokku Township
95.241655,21.633454,No(5)(W),6241,2761,3480,Yesagyo Township
95.082268,21.335001,No(5)(W),1335,586,749,Pakokku Township
94.81558,21.38358,No(5)(W),1335,586,749,Pakokku Township
95.241655,21.633454,No(5)(W),1335,586,749,Yesagyo Township
95.082268,21.335001,No(6)(W),6064,2718,3346,Pakokku Township
94.81558,21.38358,No(6)(W),6064,2718,3346,Pakokku Township
95.241655,21.633454,No(6)(W),6064,2718,3346,Yesagyo Township
95.082268,21.335001,No(6)(W),2698,1228,1470,Pakokku Township
94.81558,21.38358,No(6)(W),2698,1228,1470,Pakokku Township
95.241655,21.633454,No(6)(W),2698,1228,1470,Yesagyo Township
95.082268,21.335001,No(7)(W),2855,1240,1615,Pakokku Township
94.81558,21.38358,No(7)(W),2855,1240,1615,Pakokku Township
95.241655,21.633454,No(7)(W),2855,1240,1615,Yesagyo Township
95.082268,21.335001,No(7)(W),4602,2049,2553,Pakokku Township
94.81558,21.38358,No(7)(W),4602,2049,2553,Pakokku Township
95.241655,21.633454,No(7)(W),4602,2049,2553,Yesagyo Township
95.082268,21.335001,No(8)(W),2794,1273,1521,Pakokku Township
94.81558,21.38358,No(8)(W),2794,1273,1521,Pakokku Township
95.241655,21.633454,No(8)(W),2794,1273,1521,Yesagyo Township
95.082268,21.335001,No(8)(W),5036,2238,2798,Pakokku Township
94.81558,21.38358,No(8)(W),5036,2238,2798,Pakokku Township
95.241655,21.633454,No(8)(W),5036,2238,2798,Yesagyo Township
95.082268,21.335001,No(9)(W),3053,1305,1748,Pakokku Township
94.81558,21.38358,No(9)(W),3053,1305,1748,Pakokku Township
95.082268,21.335001,No(10)(W),2903,1470,1433,Pakokku Township
94.81558,21.38358,No(10)(W),2903,1470,1433,Pakokku Township
95.082268,21.335001,No(11)(W),10240,4616,5624,Pakokku Township
94.81558,21.38358,No(11)(W),10240,4616,5624,Pakokku Township
95.082268,21.335001,No(12)(W),3587,1667,1920,Pakokku Township
94.81558,21.38358,No(12)(W),3587,1667,1920,Pakokku Township
95.082268,21.335001,No(13)(W),6094,2957,3137,Pakokku Township
95.082268,21.335001,No(14)(W),6463,3025,3438,Pakokku Township
95.082268,21.335001,No(15)(W),14549,6660,7889,Pakokku Township
94.473737,21.45215,AungTaKhon(W),3102,1441,1661,Pauk Township
94.473737,21.45215,AungTawMu(W),1406,598,808,Pauk Township
94.473737,21.45215,AungChanThar(W),1436,610,826,Pauk Township
94.473737,21.45215,ShwePaukPin(W),1342,606,736,Pauk Township
94.792427,20.906509,AhNaukPaing(W),3750,1702,2048,Seikphyu Township
94.792427,20.906509,AhLelPaing(W),1814,825,989,Seikphyu Township
94.792427,20.906509,YawWa(W),1811,803,1008,Seikphyu Township
94.792427,20.906509,YwarThit(W),1706,733,973,Seikphyu Township
94.135818,22.174213,MyaukKone(W),4848,2326,2522,Gangaw Township
94.135818,22.174213,SiPinTharYar(W),2263,1051,1212,Gangaw Township
94.135818,22.174213,MyoMa(W),3004,1317,1687,Gangaw Township
94.136,21.406,MyoMa(W),3004,1317,1687,Saw Township
94.135818,22.174213,KyawTaik(W),3824,1755,2069,Gangaw Township
94.092781,21.696356,No(1)(W),1808,837,971,Tilin Township
94.092781,21.696356,No(2)(W),2714,1247,1467,Tilin Township
94.155609,21.149811,ThiRi(W),2734,1256,1478,Saw Township
94.155609,21.149811,ZayYar(W),2128,970,1158,Saw Township
97.625931,16.484591,ShweMyaingThiRi(W),20156,9523,10633,Mawlamyine Township
97.625931,16.484591,KyaikHpaNei(W),5543,2522,3021,Mawlamyine Township
97.625931,16.484591,AukKyin(W),8312,4190,4122,Mawlamyine Township
97.625931,16.484591,Mandalay(W),5705,2698,3007,Mawlamyine Township
97.625931,16.484591,HpetTan(W),12395,6238,6157,Mawlamyine Township
97.625931,16.484591,Shwe(South)(W),8661,4112,4549,Mawlamyine Township
97.625931,16.484591,SitKeKone(W),7084,3162,3922,Mawlamyine Township
97.625931,16.484591,MaYanKone(W),4311,1942,2369,Mawlamyine Township
97.625931,16.484591,PanBeDan(W),5715,2627,3088,Mawlamyine Township
97.625931,16.484591,BoKone(W),7556,3594,3962,Mawlamyine Township
97.625931,16.484591,MaungNgan(W),8829,4294,4535,Mawlamyine Township
97.625931,16.484591,KwinYat(W),11243,5336,5907,Mawlamyine Township
97.625931,16.484591,MyayNiKone(W),7607,3762,3845,Mawlamyine Township
97.625931,16.484591,ZayCho(W),18097,8974,9123,Mawlamyine Township
97.625931,16.484591,ThiRiMyaing(W),12749,5956,6793,Mawlamyine Township
97.625931,16.484591,MuPon(W),11165,5276,5889,Mawlamyine Township
97.625931,16.484591,ZayYarThiRi(W),12062,5620,6442,Mawlamyine Township
97.625931,16.484591,TharYarAye(W),7294,3454,3840,Mawlamyine Township
97.625931,16.484591,ThiRiMinGaLar(W),6019,2866,3153,Mawlamyine Township
97.625931,16.484591,MyaingTharYar(W),13149,5967,7182,Mawlamyine Township
97.625931,16.484591,ZayYarMyaing(W),4015,1934,2081,Mawlamyine Township
97.625931,16.484591,KyaukTan(W),4627,2283,2344,Mawlamyine Township
97.625931,16.484591,SanGyi(W),1368,643,725,Mawlamyine Township
97.625931,16.484591,NganTay(W),5770,2854,2916,Mawlamyine Township
97.625931,16.484591,GwayKone(W),5802,3116,2686,Mawlamyine Township
97.625931,16.484591,NaungKhaRi(W),9679,4874,4805,Mawlamyine Township
97.625931,16.484591,ChaukMaingKyweChanKone(W),5765,2879,2886,Mawlamyine Township
96.711534,25.522595,Kamaing(W),5734,2826,2908,Hpakant Township
97.724106,16.370445,ShinSawPu(W),4842,2140,2702,Kyaikmaraw Township
97.724106,16.370445,YanMyoAung(W),6179,2796,3383,Kyaikmaraw Township
97.854233,15.251858,YanMyoAung(W),6179,2796,3383,Ye Township
97.724106,16.370445,YanMyoAung(W),4488,2154,2334,Kyaikmaraw Township
97.854233,15.251858,YanMyoAung(W),4488,2154,2334,Ye Township
97.550484,16.351248,AhNauk(W),2863,1331,1532,Chaungzon Township
97.550484,16.351248,AhShey(W),2870,1309,1561,Chaungzon Township
97.550484,16.351248,ToeCheit(W),1994,898,1096,Chaungzon Township
97.7333,15.9667,KyarKan(W),4520,2163,2357,Thanbyuzayat Township
97.7333,15.9667,AungChanThar(W),2213,1070,1143,Thanbyuzayat Township
97.7333,15.9667,SetThit(W),4444,2097,2347,Thanbyuzayat Township
97.7333,15.9667,AungMinGaLar(W),2441,1078,1363,Thanbyuzayat Township
97.854233,15.251858,AungMinGaLar(W),2441,1078,1363,Ye Township
97.7333,15.9667,AungMinGaLar(W),4669,2223,2446,Thanbyuzayat Township
97.854233,15.251858,AungMinGaLar(W),4669,2223,2446,Ye Township
97.7333,15.9667,HanTharWaDi(W),2042,1008,1034,Thanbyuzayat Township
97.7333,15.9667,AungZayYa(W),4483,2187,2296,Thanbyuzayat Township
97.7333,15.9667,KyaungPaing(W),2483,1165,1318,Thanbyuzayat Township
97.7333,15.9667,KyantKhaingYe(W),7225,3392,3833,Thanbyuzayat Township
97.7333,15.9667,AungTharYar(W),6391,3200,3191,Thanbyuzayat Township
97.5675,16.08,DhammaZayDi(W),3123,1313,1810,Thanbyuzayat Township
97.5675,16.08,AungPinLel(W),3385,1651,1734,Thanbyuzayat Township
97.5675,16.08,MyoMaZay(W),3619,1717,1902,Thanbyuzayat Township
97.5675,16.08,AungThuKha(W),9135,4492,4643,Thanbyuzayat Township
97.854233,15.251858,AungThuKha(W),9135,4492,4643,Ye Township
97.5675,16.08,AungThuKha(W),2057,968,1089,Thanbyuzayat Township
97.854233,15.251858,AungThuKha(W),2057,968,1089,Ye Township
97.5675,16.08,YangAungMyay(W),1172,536,636,Thanbyuzayat Township
97.5675,16.08,ManYaTaNar(W),532,276,256,Thanbyuzayat Township
97.724777,16.25812,Myoma(1)(W),14537,6583,7954,Mudon Township
97.724777,16.25812,Myoma(2)(W),12727,6005,6722,Mudon Township
97.724777,16.25812,Myoma(3)(W),6763,3049,3714,Mudon Township
97.724777,16.25812,Myoma(4)(W),18487,9164,9323,Mudon Township
97.854233,15.251858,ThiRiZayYar(W),2127,997,1130,Ye Township
97.854233,15.251858,ThiRiMarLar(W),1885,878,1007,Ye Township
97.854233,15.251858,ThiRiNanDar(W),7510,3703,3807,Ye Township
97.854233,15.251858,ThiRiKhayMar(W),3244,1606,1638,Ye Township
97.854233,15.251858,YanGyiAung(W),3895,1846,2049,Ye Township
97.854233,15.251858,AungMyitTar(W),4555,2244,2311,Ye Township
97.832153,15.503505,No(1)(W),5214,2346,2868,Ye Township
97.829346,15.037524,No(1)(W),5214,2346,2868,Ye Township
97.832153,15.503505,No(1)(W),2042,997,1045,Ye Township
97.829346,15.037524,No(1)(W),2042,997,1045,Ye Township
97.832153,15.503505,No(2)(W),3938,1981,1957,Ye Township
97.829346,15.037524,No(2)(W),3938,1981,1957,Ye Township
97.832153,15.503505,No(2)(W),1802,927,875,Ye Township
97.829346,15.037524,No(2)(W),1802,927,875,Ye Township
97.832153,15.503505,No(3)(W),4462,2033,2429,Ye Township
97.367798,16.919701,LeikInn(W),14934,7374,7560,Thaton Township
97.367798,16.919701,NanKhe(W),8026,4013,4013,Thaton Township
97.367798,16.919701,AukKyin(W),11858,5549,6309,Thaton Township
97.367798,16.919701,TheinKone(W),9608,4519,5089,Thaton Township
97.367798,16.919701,BinHlaing(W),10621,5130,5491,Thaton Township
97.456718,16.616785,MoeNaing(W),4276,2062,2214,Paung Township
97.456718,16.616785,KaDonSee(W),7489,3489,4000,Paung Township
97.456718,16.616785,Paung(W),6934,3283,3651,Paung Township
97.456718,16.616785,KaDar(W),10735,5037,5698,Paung Township
97.01989,17.311556,ZayYarMun(W),3661,1714,1947,Kyaikto Township
97.01989,17.311556,MyaukPaing(W),2893,1354,1539,Kyaikto Township
97.01989,17.311556,KawtSanNaing(W),7546,3590,3956,Kyaikto Township
97.01989,17.311556,TaungPaing(W),5110,2452,2658,Kyaikto Township
97.01989,17.311556,KantKaw(W),8995,4185,4810,Kyaikto Township
97.01989,17.311556,TaungThuSu(W),7019,3327,3692,Kyaikto Township
97.23441,24.25493,KhunThar(W),5103,2460,2643,Bhamo Township
97.23441,24.25493,MyoMa(W),824,381,443,Bhamo Township
97.23441,24.25493,AhLelYat(W),812,350,462,Bhamo Township
97.23441,24.25493,MinKone(W),2782,1482,1300,Bhamo Township
97.23441,24.25493,TharSi(W),10304,5083,5221,Bhamo Township
97.23441,24.25493,PaukKone(W),9539,4487,5052,Bhamo Township
97.23441,24.25493,MinKyaungKone(W),1636,769,867,Bhamo Township
97.23441,24.25493,NyaungPin(W),8813,4076,4737,Bhamo Township
97.23441,24.25493,ThiRi(W),2230,1099,1131,Bhamo Township
97.23441,24.25493,SinKone(W),1413,694,719,Bhamo Township
97.23441,24.25493,NamHpar(W),4102,1978,2124,Bhamo Township
97.23441,24.25493,NawngKho(W),8359,4334,4025,Bhamo Township
97.23441,24.25493,ShweKyeeNar(W),2779,1299,1480,Bhamo Township
96.806061,24.206947,No(1)(W),4629,2264,2365,Shwegu Township
96.632228,24.479419,No(1)(W),4629,2264,2365,Shwegu Township
97.461272,24.613976,No(1)(W),4629,2264,2365,Momauk Township
96.806061,24.206947,No(1)(W),421,209,212,Shwegu Township
96.632228,24.479419,No(1)(W),421,209,212,Shwegu Township
97.461272,24.613976,No(1)(W),421,209,212,Momauk Township
96.806061,24.206947,No(1)(W),701,361,340,Shwegu Township
96.632228,24.479419,No(1)(W),701,361,340,Shwegu Township
97.461272,24.613976,No(1)(W),701,361,340,Momauk Township
96.806061,24.206947,No(2)(W),4082,1949,2133,Shwegu Township
96.632228,24.479419,No(2)(W),4082,1949,2133,Shwegu Township
97.461272,24.613976,No(2)(W),4082,1949,2133,Momauk Township
96.806061,24.206947,No(2)(W),523,268,255,Shwegu Township
96.632228,24.479419,No(2)(W),523,268,255,Shwegu Township
97.461272,24.613976,No(2)(W),523,268,255,Momauk Township
96.806061,24.206947,No(2)(W),368,178,190,Shwegu Township
96.632228,24.479419,No(2)(W),368,178,190,Shwegu Township
97.461272,24.613976,No(2)(W),368,178,190,Momauk Township
96.806061,24.206947,No(3)(W),3546,1714,1832,Shwegu Township
96.632228,24.479419,No(3)(W),3546,1714,1832,Shwegu Township
97.461272,24.613976,No(3)(W),3546,1714,1832,Momauk Township
96.806061,24.206947,No(3)(W),476,251,225,Shwegu Township
96.632228,24.479419,No(3)(W),476,251,225,Shwegu Township
97.461272,24.613976,No(3)(W),476,251,225,Momauk Township
96.806061,24.206947,No(3)(W),812,442,370,Shwegu Township
96.632228,24.479419,No(3)(W),812,442,370,Shwegu Township
97.461272,24.613976,No(3)(W),812,442,370,Momauk Township
96.806061,24.206947,No(4)(W),6637,3101,3536,Shwegu Township
96.632228,24.479419,No(4)(W),6637,3101,3536,Shwegu Township
96.806061,24.206947,No(4)(W),408,223,185,Shwegu Township
96.632228,24.479419,No(4)(W),408,223,185,Shwegu Township
93.5544,19.4239,AhYarShi(W),4665,2132,2533,Kyaukpyu Township
93.5544,19.4239,AhSoeYa(W),3703,2189,1514,Kyaukpyu Township
93.5544,19.4239,ThanPanChaung(W),1333,589,744,Kyaukpyu Township
93.5544,19.4239,AhNaukPaing(W),840,376,464,Kyaukpyu Township
94.047913,19.795368,AhNaukPaing(W),840,376,464,Ann Township
93.5544,19.4239,AhLelPaing(W),851,386,465,Kyaukpyu Township
93.5544,19.4239,AhSheyPaing(W),1262,598,664,Kyaukpyu Township
94.047913,19.795368,AhSheyPaing(W),1262,598,664,Ann Township
93.5544,19.4239,MyitNarTan(W),1267,608,659,Kyaukpyu Township
93.5544,19.4239,RakhinePaikSeik(W),3052,1456,1596,Kyaukpyu Township
93.5544,19.4239,KuLarPaikSeik(W),141,63,78,Kyaukpyu Township
93.5544,19.4239,ZayDi(South)(W),3752,1748,2004,Kyaukpyu Township
93.7215,18.85506,AhNaukSu(W),1659,718,941,Munaung Township
93.7215,18.85506,MyoMa(W),670,269,401,Munaung Township
93.7215,18.85506,YanAungMyin(W),969,469,500,Munaung Township
93.7215,18.85506,MyoThit(W),1181,510,671,Munaung Township
93.7215,18.85506,KanNarTan(W),767,344,423,Munaung Township
